player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
PWH de Silva,72.0,80.0,11.0,14.0,6.55,90.0,7.0,1.0,758.0,36.0,557.0,26.0,8.17,21.06,15.47,All-rounder,26.0
J Suchith,70.0,62.0,4.0,9.0,17.5,112.9,6.0,3.0,604.0,20.0,434.0,21.0,8.35,30.2,21.7,Bowler,21.0
JJ Bumrah,68.0,80.0,8.0,26.0,8.5,85.0,5.0,1.0,3840.0,182.0,3185.0,133.0,7.23,21.1,17.5,All-rounder,133.0
LH Ferguson,68.0,48.0,4.0,7.0,17.0,141.67,6.0,2.0,1451.0,57.0,1002.0,45.0,8.69,25.46,17.58,Bowler,45.0
RR Powar,67.0,64.0,3.0,9.0,22.33,104.69,6.0,1.0,538.0,15.0,443.0,26.0,7.29,35.87,29.53,Bowler,26.0
R Sharma,66.0,77.0,11.0,19.0,6.0,85.71,5.0,3.0,1100.0,42.0,935.0,44.0,7.06,26.19,22.26,All-rounder,44.0
M Jansen,66.0,71.0,8.0,12.0,8.25,92.96,5.0,2.0,732.0,22.0,487.0,21.0,9.02,33.27,22.14,All-rounder,21.0
WD Parnell,65.0,86.0,10.0,13.0,6.5,75.58,4.0,1.0,968.0,40.0,758.0,33.0,7.66,24.2,18.95,All-rounder,33.0
S Aravind,59.0,59.0,3.0,10.0,19.67,100.0,7.0,0.0,1057.0,48.0,788.0,38.0,8.05,22.02,16.42,All-rounder,38.0
I Sharma,57.0,71.0,7.0,21.0,8.14,80.28,4.0,2.0,3255.0,96.0,2429.0,110.0,8.04,33.91,25.3,All-rounder,110.0
Sandeep Sharma,54.0,73.0,5.0,25.0,10.8,73.97,4.0,0.0,3758.0,153.0,2925.0,126.0,7.71,24.56,19.12,All-rounder,126.0
RP Singh,52.0,78.0,15.0,28.0,3.47,66.67,2.0,1.0,2417.0,100.0,1874.0,82.0,7.74,24.17,18.74,All-rounder,82.0
Shivam Mavi,51.0,58.0,9.0,11.0,5.67,87.93,4.0,2.0,958.0,33.0,687.0,32.0,8.37,29.03,20.82,All-rounder,32.0
VR Aaron,50.0,73.0,4.0,12.0,12.5,68.49,2.0,2.0,1527.0,46.0,1065.0,50.0,8.6,33.2,23.15,All-rounder,50.0
A Nortje,49.0,51.0,5.0,13.0,9.8,96.08,6.0,0.0,1614.0,62.0,1097.0,46.0,8.83,26.03,17.69,All-rounder,46.0
M Markande,48.0,44.0,3.0,10.0,16.0,109.09,5.0,1.0,1081.0,37.0,737.0,37.0,8.8,29.22,19.92,All-rounder,37.0
SK Trivedi,42.0,61.0,8.0,14.0,5.25,68.85,3.0,1.0,1944.0,73.0,1557.0,75.0,7.49,26.63,21.33,All-rounder,75.0
A Nehra,41.0,63.0,8.0,17.0,5.12,65.08,3.0,1.0,2537.0,121.0,1974.0,88.0,7.71,20.97,16.31,All-rounder,88.0
Avesh Khan,41.0,25.0,1.0,9.0,41.0,164.0,3.0,3.0,2010.0,81.0,1390.0,62.0,8.68,24.81,17.16,Bowler,62.0
J Yadav,40.0,38.0,2.0,4.0,20.0,105.26,2.0,1.0,447.0,9.0,398.0,20.0,6.74,49.67,44.22,Bowler,20.0
MM Patel,39.0,41.0,5.0,12.0,7.8,95.12,5.0,0.0,1733.0,82.0,1382.0,63.0,7.52,21.13,16.85,All-rounder,63.0
S Nadeem,39.0,88.0,16.0,20.0,2.44,44.32,2.0,0.0,1800.0,54.0,1444.0,70.0,7.48,33.33,26.74,All-rounder,70.0
